BuildingIndex,Year,Month,Day,Hour,Quarter,DayInWeek,HolidayOrNot,EnergyDemand,SOC
1,2017,9,1,13,1,0,0,0.620789,0
1,2017,9,1,13,2,0,0,1.198717,0
1,2017,9,1,13,3,0,0,1.198717,0
1,2017,9,1,14,0,0,0,1.198717,0
1,2017,9,1,14,1,0,0,1.198717,0
1,2017,9,1,14,2,0,0,1.198717,0
1,2017,9,1,14,3,0,0,1.198717,0
1,2017,9,1,15,0,0,0,1.198717,0
1,2017,9,1,15,1,0,0,1.198717,0
1,2017,9,1,15,2,0,0,1.198717,0
1,2017,9,1,15,3,0,0,0.500754,0
1,2017,9,1,21,2,0,0,0.021942,0
1,2017,9,1,21,3,0,0,0.231967,0
1,2017,9,1,22,0,0,0,0.256476,0
1,2017,9,1,22,1,0,0,0.256476,0
1,2017,9,1,22,2,0,0,0.256476,0
1,2017,9,1,22,3,0,0,0.256476,0
1,2017,9,1,23,0,0,0,0.256476,0
1,2017,9,1,23,1,0,0,0.256476,0
1,2017,9,1,23,2,0,0,0.256476,0
1,2017,9,1,23,3,0,0,0.256476,0
1,2017,9,2,0,0,0,0,0.256476,0
1,2017,9,2,0,1,0,0,0.256476,0
1,2017,9,2,0,2,0,0,0.256476,0
1,2017,9,2,0,3,0,0,0.256476,0
1,2017,9,2,1,0,0,0,0.256476,0
1,2017,9,2,1,1,0,0,0.256476,0
1,2017,9,2,1,2,0,0,0.256476,0
1,2017,9,2,1,3,0,0,0.256476,0
1,2017,9,2,2,0,0,0,0.256476,0
1,2017,9,2,2,1,0,0,0.256476,0
1,2017,9,2,2,2,0,0,0.256476,0
1,2017,9,2,2,3,0,0,0.256476,0
1,2017,9,2,3,0,0,0,0.256476,0
1,2017,9,2,3,1,0,0,0.256476,0
1,2017,9,2,3,2,0,0,0.256476,0
1,2017,9,2,3,3,0,0,0.256476,0
1,2017,9,2,4,0,0,0,0.256476,0
1,2017,9,2,4,1,0,0,0.256476,0
1,2017,9,2,4,2,0,0,0.256476,0
1,2017,9,2,4,3,0,0,0.256476,0
1,2017,9,2,5,0,0,0,0.256476,0
1,2017,9,2,5,1,0,0,0.256476,0
1,2017,9,2,5,2,0,0,0.256476,0
1,2017,9,2,5,3,0,0,0.256476,0
1,2017,9,2,6,0,0,0,0.256476,0
1,2017,9,2,6,1,0,0,0.256476,0
1,2017,9,2,6,2,0,0,0.256476,0
1,2017,9,2,6,3,0,0,0.256476,0
1,2017,9,2,7,0,0,0,0.256476,0
1,2017,9,2,7,1,0,0,0.256476,0
1,2017,9,2,11,2,0,0,0.050176,0
1,2017,9,2,11,3,0,0,0.376324,0
1,2017,9,2,12,0,0,0,0.376324,0
1,2017,9,2,12,1,0,0,0.376324,0
1,2017,9,2,12,2,0,0,0.376324,0
1,2017,9,2,12,3,0,0,0.376324,0
1,2017,9,2,13,0,0,0,0.376324,0
1,2017,9,2,13,1,0,0,0.544432,0
1,2017,9,2,13,2,0,0,0.691526,0
1,2017,9,2,13,3,0,0,0.691526,0
1,2017,9,2,14,0,0,0,0.691526,0
1,2017,9,2,14,1,0,0,0.691526,0
1,2017,9,2,14,2,0,0,0.691526,0
1,2017,9,2,14,3,0,0,0.691526,0
1,2017,9,2,15,0,0,0,0.691526,0
1,2017,9,2,15,1,0,0,0.691526,0
1,2017,9,2,15,2,0,0,0.691526,0
1,2017,9,2,15,3,0,0,0.481391,0
1,2017,9,2,16,0,0,0,0.376324,0
1,2017,9,2,16,1,0,0,0.376324,0
1,2017,9,2,16,2,0,0,0.376324,0
1,2017,9,2,16,3,0,0,0.376324,0
1,2017,9,2,17,0,0,0,0.376324,0
1,2017,9,2,17,1,0,0,0.200706,0
1,2017,9,2,21,2,0,0,0.024125,0
1,2017,9,2,21,3,0,0,0.196742,0
1,2017,9,2,22,0,0,0,0.263345,0
1,2017,9,2,22,1,0,0,0.263345,0
1,2017,9,2,22,2,0,0,0.263345,0
1,2017,9,2,22,3,0,0,0.263345,0
1,2017,9,2,23,0,0,0,0.263345,0
1,2017,9,2,23,1,0,0,0.263345,0
1,2017,9,2,23,2,0,0,0.263345,0
1,2017,9,2,23,3,0,0,0.263345,0
1,2017,9,3,0,0,0,0,0.263345,0
1,2017,9,3,0,1,0,0,0.263345,0
1,2017,9,3,0,2,0,0,0.263345,0
1,2017,9,3,0,3,0,0,0.263345,0
1,2017,9,3,1,0,0,0,0.263345,0
1,2017,9,3,1,1,0,0,0.263345,0
1,2017,9,3,1,2,0,0,0.263345,0
1,2017,9,3,1,3,0,0,0.263345,0
1,2017,9,3,2,0,0,0,0.263345,0
1,2017,9,3,2,1,0,0,0.263345,0
1,2017,9,3,2,2,0,0,0.263345,0
1,2017,9,3,2,3,0,0,0.263345,0
1,2017,9,3,3,0,0,0,0.263345,0
1,2017,9,3,3,1,0,0,0.263345,0
1,2017,9,3,3,2,0,0,0.263345,0
1,2017,9,3,3,3,0,0,0.263345,0
1,2017,9,3,4,0,0,0,0.263345,0
1,2017,9,3,4,1,0,0,0.263345,0
1,2017,9,3,4,2,0,0,0.263345,0
1,2017,9,3,4,3,0,0,0.263345,0
1,2017,9,3,5,0,0,0,0.263345,0
1,2017,9,3,5,1,0,0,0.263345,0
1,2017,9,3,5,2,0,0,0.263345,0
1,2017,9,3,5,3,0,0,0.263345,0
1,2017,9,3,6,0,0,0,0.263345,0
1,2017,9,3,6,1,0,0,0.263345,0
1,2017,9,3,6,2,0,0,0.263345,0
1,2017,9,3,6,3,0,0,0.263345,0
1,2017,9,3,7,0,0,0,0.263345,0
1,2017,9,3,13,1,0,0,0.327227,0
1,2017,9,3,13,2,0,0,0.606954,0
1,2017,9,3,13,3,0,0,0.606954,0
1,2017,9,3,14,0,0,0,0.606954,0
1,2017,9,3,14,1,0,0,0.606954,0
1,2017,9,3,14,2,0,0,0.606954,0
1,2017,9,3,14,3,0,0,0.606954,0
1,2017,9,3,15,0,0,0,0.606954,0
1,2017,9,3,15,1,0,0,0.606954,0
1,2017,9,3,15,2,0,0,0.606954,0
1,2017,9,3,15,3,0,0,0.485563,0
1,2017,9,3,21,2,0,0,0.041472,0
1,2017,9,3,21,3,0,0,0.186121,0
1,2017,9,3,22,0,0,0,0.240114,0
1,2017,9,3,22,1,0,0,0.240114,0
1,2017,9,3,22,2,0,0,0.240114,0
1,2017,9,3,22,3,0,0,0.240114,0
1,2017,9,3,23,0,0,0,0.240114,0
1,2017,9,3,23,1,0,0,0.240114,0
1,2017,9,3,23,2,0,0,0.240114,0
1,2017,9,3,23,3,0,0,0.240114,0
1,2017,9,4,0,0,0,0,0.240114,0
1,2017,9,4,0,1,0,0,0.240114,0
1,2017,9,4,0,2,0,0,0.240114,0
1,2017,9,4,0,3,0,0,0.240114,0
1,2017,9,4,1,0,0,0,0.240114,0
1,2017,9,4,1,1,0,0,0.240114,0
1,2017,9,4,1,2,0,0,0.240114,0
1,2017,9,4,1,3,0,0,0.240114,0
1,2017,9,4,2,0,0,0,0.240114,0
1,2017,9,4,2,1,0,0,0.240114,0
1,2017,9,4,2,2,0,0,0.240114,0
1,2017,9,4,2,3,0,0,0.240114,0
1,2017,9,4,3,0,0,0,0.240114,0
1,2017,9,4,3,1,0,0,0.240114,0
1,2017,9,4,3,2,0,0,0.240114,0
1,2017,9,4,3,3,0,0,0.240114,0
1,2017,9,4,4,0,0,0,0.240114,0
1,2017,9,4,4,1,0,0,0.240114,0
1,2017,9,4,4,2,0,0,0.240114,0
1,2017,9,4,4,3,0,0,0.240114,0
1,2017,9,4,5,0,0,0,0.240114,0
1,2017,9,4,5,1,0,0,0.240114,0
1,2017,9,4,5,2,0,0,0.240114,0
1,2017,9,4,5,3,0,0,0.240114,0
1,2017,9,4,6,0,0,0,0.240114,0
1,2017,9,4,6,1,0,0,0.240114,0
1,2017,9,4,6,2,0,0,0.240114,0
1,2017,9,4,6,3,0,0,0.240114,0
1,2017,9,4,7,0,0,0,0.240114,0
1,2017,9,4,7,1,0,0,0.240114,0
1,2017,9,4,7,2,0,0,0.128061,0
1,2017,9,4,13,0,0,0,0.144497,0
1,2017,9,4,13,1,0,0,0.722485,0
1,2017,9,4,13,2,0,0,0.722485,0
1,2017,9,4,13,3,0,0,0.722485,0
1,2017,9,4,14,0,0,0,0.722485,0
1,2017,9,4,14,1,0,0,0.722485,0
1,2017,9,4,14,2,0,0,0.722485,0
1,2017,9,4,14,3,0,0,0.722485,0
1,2017,9,4,15,0,0,0,0.722485,0
1,2017,9,4,15,1,0,0,0.722485,0
1,2017,9,4,15,2,0,0,0.722485,0
1,2017,9,4,15,3,0,0,0.722485,0
1,2017,9,4,16,0,0,0,0.048166,0
1,2017,9,4,21,2,0,0,0.062054,0
1,2017,9,4,21,3,0,0,0.375277,0
1,2017,9,4,22,0,0,0,0.375277,0
1,2017,9,4,22,1,0,0,0.375277,0
1,2017,9,4,22,2,0,0,0.375277,0
1,2017,9,4,22,3,0,0,0.375277,0
1,2017,9,4,23,0,0,0,0.375277,0
1,2017,9,4,23,1,0,0,0.375277,0
1,2017,9,4,23,2,0,0,0.375277,0
1,2017,9,4,23,3,0,0,0.375277,0
1,2017,9,5,0,0,0,0,0.375277,0
1,2017,9,5,0,1,0,0,0.375277,0
1,2017,9,5,0,2,0,0,0.375277,0
1,2017,9,5,0,3,0,0,0.375277,0
1,2017,9,5,1,0,0,0,0.375277,0
1,2017,9,5,1,1,0,0,0.375277,0
1,2017,9,5,1,2,0,0,0.375277,0
1,2017,9,5,1,3,0,0,0.375277,0
1,2017,9,5,2,0,0,0,0.375277,0
1,2017,9,5,2,1,0,0,0.375277,0
1,2017,9,5,2,2,0,0,0.375277,0
1,2017,9,5,2,3,0,0,0.375277,0
1,2017,9,5,3,0,0,0,0.375277,0
1,2017,9,5,3,1,0,0,0.375277,0
1,2017,9,5,3,2,0,0,0.375277,0
1,2017,9,5,3,3,0,0,0.375277,0
1,2017,9,5,4,0,0,0,0.375277,0
1,2017,9,5,4,1,0,0,0.375277,0
1,2017,9,5,4,2,0,0,0.375277,0
1,2017,9,5,4,3,0,0,0.375277,0
1,2017,9,5,5,0,0,0,0.375277,0
1,2017,9,5,5,1,0,0,0.375277,0
1,2017,9,5,5,2,0,0,0.375277,0
1,2017,9,5,5,3,0,0,0.375277,0
1,2017,9,5,6,0,0,0,0.375277,0
1,2017,9,5,6,1,0,0,0.375277,0
1,2017,9,5,6,2,0,0,0.375277,0
1,2017,9,5,6,3,0,0,0.375277,0
1,2017,9,5,7,0,0,0,0.375277,0
1,2017,9,5,7,1,0,0,0.375277,0
1,2017,9,5,7,2,0,0,0.162128,0
1,2017,9,5,12,3,0,0,0.091099,0
1,2017,9,5,13,0,0,0,0.683242,0
1,2017,9,5,13,1,0,0,0.683242,0
1,2017,9,5,13,2,0,0,0.683242,0
1,2017,9,5,13,3,0,0,0.683242,0
1,2017,9,5,14,0,0,0,0.683242,0
1,2017,9,5,14,1,0,0,0.683242,0
1,2017,9,5,14,2,0,0,0.683242,0
1,2017,9,5,14,3,0,0,0.683242,0
1,2017,9,5,15,0,0,0,0.683242,0
1,2017,9,5,15,1,0,0,0.683242,0
1,2017,9,5,15,2,0,0,0.683242,0
1,2017,9,5,15,3,0,0,0.683242,0
1,2017,9,5,16,0,0,0,0,0
1,2017,9,5,21,3,0,0,0.208551,0
1,2017,9,5,22,0,0,0,0.3577,0
1,2017,9,5,22,1,0,0,0.3577,0
1,2017,9,5,22,2,0,0,0.3577,0
1,2017,9,5,22,3,0,0,0.3577,0
1,2017,9,5,23,0,0,0,0.3577,0
1,2017,9,5,23,1,0,0,0.3577,0
1,2017,9,5,23,2,0,0,0.3577,0
1,2017,9,5,23,3,0,0,0.3577,0
1,2017,9,6,0,0,0,0,0.3577,0
1,2017,9,6,0,1,0,0,0.3577,0
1,2017,9,6,0,2,0,0,0.3577,0
1,2017,9,6,0,3,0,0,0.3577,0
1,2017,9,6,1,0,0,0,0.3577,0
1,2017,9,6,1,1,0,0,0.3577,0
1,2017,9,6,1,2,0,0,0.3577,0
1,2017,9,6,1,3,0,0,0.3577,0
1,2017,9,6,2,0,0,0,0.3577,0
1,2017,9,6,2,1,0,0,0.3577,0
1,2017,9,6,2,2,0,0,0.3577,0
1,2017,9,6,2,3,0,0,0.3577,0
1,2017,9,6,3,0,0,0,0.3577,0
1,2017,9,6,3,1,0,0,0.3577,0
1,2017,9,6,3,2,0,0,0.3577,0
1,2017,9,6,3,3,0,0,0.3577,0
1,2017,9,6,4,0,0,0,0.3577,0
1,2017,9,6,4,1,0,0,0.3577,0
1,2017,9,6,4,2,0,0,0.3577,0
1,2017,9,6,4,3,0,0,0.3577,0
1,2017,9,6,5,0,0,0,0.3577,0
1,2017,9,6,5,1,0,0,0.3577,0
1,2017,9,6,5,2,0,0,0.3577,0
1,2017,9,6,5,3,0,0,0.3577,0
1,2017,9,6,6,0,0,0,0.3577,0
1,2017,9,6,6,1,0,0,0.3577,0
1,2017,9,6,6,2,0,0,0.3577,0
1,2017,9,6,6,3,0,0,0.3577,0
1,2017,9,6,7,0,0,0,0.3577,0
1,2017,9,6,7,1,0,0,0.3577,0
1,2017,9,6,7,2,0,0,0.088844,0
1,2017,9,6,13,0,0,0,0.342794,0
1,2017,9,6,13,1,0,0,0.571324,0
1,2017,9,6,13,2,0,0,0.65503,0
1,2017,9,6,13,3,0,0,0.989855,0
1,2017,9,6,14,0,0,0,0.951767,0
1,2017,9,6,14,1,0,0,0.418531,0
1,2017,9,6,14,2,0,0,0.418531,0
1,2017,9,6,14,3,0,0,0.418531,0
1,2017,9,6,15,0,0,0,0.418531,0
1,2017,9,6,15,1,0,0,0.418531,0
1,2017,9,6,15,2,0,0,0.418531,0
1,2017,9,6,15,3,0,0,0.418531,0
1,2017,9,6,16,0,0,0,0.13951,0
1,2017,9,6,21,2,0,0,0.309053,0
1,2017,9,6,21,3,0,0,0.350255,0
1,2017,9,6,22,0,0,0,0.350255,0
1,2017,9,6,22,1,0,0,0.350255,0
1,2017,9,6,22,2,0,0,0.350255,0
1,2017,9,6,22,3,0,0,0.350255,0
1,2017,9,6,23,0,0,0,0.350255,0
1,2017,9,6,23,1,0,0,0.350255,0
1,2017,9,6,23,2,0,0,0.350255,0
1,2017,9,6,23,3,0,0,0.350255,0
1,2017,9,7,0,0,0,0,0.350255,0
1,2017,9,7,0,1,0,0,0.350255,0
1,2017,9,7,0,2,0,0,0.350255,0
1,2017,9,7,0,3,0,0,0.350255,0
1,2017,9,7,1,0,0,0,0.350255,0
1,2017,9,7,1,1,0,0,0.350255,0
1,2017,9,7,1,2,0,0,0.350255,0
1,2017,9,7,1,3,0,0,0.350255,0
1,2017,9,7,2,0,0,0,0.350255,0
1,2017,9,7,2,1,0,0,0.350255,0
1,2017,9,7,2,2,0,0,0.350255,0
1,2017,9,7,2,3,0,0,0.350255,0
1,2017,9,7,3,0,0,0,0.350255,0
1,2017,9,7,3,1,0,0,0.350255,0
1,2017,9,7,3,2,0,0,0.350255,0
1,2017,9,7,3,3,0,0,0.350255,0
1,2017,9,7,4,0,0,0,0.350255,0
1,2017,9,7,4,1,0,0,0.350255,0
1,2017,9,7,4,2,0,0,0.350255,0
1,2017,9,7,4,3,0,0,0.350255,0
1,2017,9,7,5,0,0,0,0.350255,0
1,2017,9,7,5,1,0,0,0.350255,0
1,2017,9,7,5,2,0,0,0.350255,0
1,2017,9,7,5,3,0,0,0.350255,0
1,2017,9,7,6,0,0,0,0.350255,0
1,2017,9,7,6,1,0,0,0.350255,0
1,2017,9,7,6,2,0,0,0.350255,0
1,2017,9,7,6,3,0,0,0.350255,0
1,2017,9,7,7,0,0,0,0.350255,0
1,2017,9,7,7,1,0,0,0.350255,0
1,2017,9,7,7,2,0,0,0.207445,0
1,2017,9,7,7,3,0,0,0.082486,0
1,2017,9,7,8,0,0,0,0.082486,0
1,2017,9,7,8,1,0,0,0.082486,0
1,2017,9,7,8,2,0,0,0.082486,0
1,2017,9,7,8,3,0,0,0.082486,0
1,2017,9,7,9,0,0,0,0.082486,0
1,2017,9,7,9,1,0,0,0.082486,0
1,2017,9,7,9,2,0,0,0.082486,0
1,2017,9,7,9,3,0,0,0.082486,0
1,2017,9,7,10,0,0,0,0.082486,0
1,2017,9,7,10,1,0,0,0.082486,0
1,2017,9,7,10,2,0,0,0.082486,0
1,2017,9,7,10,3,0,0,0.082486,0
1,2017,9,7,11,0,0,0,0.082486,0
1,2017,9,7,11,1,0,0,0.082486,0
1,2017,9,7,11,2,0,0,0.082486,0
1,2017,9,7,11,3,0,0,0.082486,0
1,2017,9,7,12,0,0,0,0.082486,0
1,2017,9,7,12,1,0,0,0.082486,0
1,2017,9,7,12,2,0,0,0.082486,0
1,2017,9,7,12,3,0,0,0.082486,0
1,2017,9,7,13,0,0,0,0.082486,0
1,2017,9,7,13,1,0,0,0.177297,0
1,2017,9,7,13,2,0,0,0.793562,0
1,2017,9,7,13,3,0,0,0.793562,0
1,2017,9,7,14,0,0,0,0.793562,0
1,2017,9,7,14,1,0,0,0.793562,0
1,2017,9,7,14,2,0,0,0.793562,0
1,2017,9,7,14,3,0,0,0.793562,0
1,2017,9,7,15,0,0,0,0.793562,0
1,2017,9,7,15,1,0,0,0.793562,0
1,2017,9,7,15,2,0,0,0.793562,0
1,2017,9,7,15,3,0,0,0.755069,0
1,2017,9,7,16,0,0,0,0.28443,0
1,2017,9,7,21,3,0,0,0.236804,0
1,2017,9,7,22,0,0,0,0.375342,0
1,2017,9,7,22,1,0,0,0.375342,0
1,2017,9,7,22,2,0,0,0.375342,0
1,2017,9,7,22,3,0,0,0.375342,0
1,2017,9,7,23,0,0,0,0.375342,0
1,2017,9,7,23,1,0,0,0.375342,0
1,2017,9,7,23,2,0,0,0.375342,0
1,2017,9,7,23,3,0,0,0.375342,0
1,2017,9,8,0,0,0,0,0.375342,0
1,2017,9,8,0,1,0,0,0.375342,0
1,2017,9,8,0,2,0,0,0.375342,0
1,2017,9,8,0,3,0,0,0.375342,0
1,2017,9,8,1,0,0,0,0.375342,0
1,2017,9,8,1,1,0,0,0.375342,0
1,2017,9,8,1,2,0,0,0.375342,0
1,2017,9,8,1,3,0,0,0.375342,0
1,2017,9,8,2,0,0,0,0.375342,0
1,2017,9,8,2,1,0,0,0.375342,0
1,2017,9,8,2,2,0,0,0.375342,0
1,2017,9,8,2,3,0,0,0.375342,0
1,2017,9,8,3,0,0,0,0.375342,0
1,2017,9,8,3,1,0,0,0.375342,0
1,2017,9,8,3,2,0,0,0.375342,0
1,2017,9,8,3,3,0,0,0.375342,0
1,2017,9,8,4,0,0,0,0.375342,0
1,2017,9,8,4,1,0,0,0.375342,0
1,2017,9,8,4,2,0,0,0.375342,0
1,2017,9,8,4,3,0,0,0.375342,0
1,2017,9,8,5,0,0,0,0.375342,0
1,2017,9,8,5,1,0,0,0.375342,0
1,2017,9,8,5,2,0,0,0.375342,0
1,2017,9,8,5,3,0,0,0.375342,0
1,2017,9,8,6,0,0,0,0.375342,0
1,2017,9,8,6,1,0,0,0.375342,0
1,2017,9,8,6,2,0,0,0.375342,0
1,2017,9,8,6,3,0,0,0.375342,0
1,2017,9,8,7,0,0,0,0.375342,0
1,2017,9,8,7,1,0,0,0.375342,0
1,2017,9,8,7,2,0,0,0.200183,0
1,2017,9,8,11,3,0,0,0.226298,0
1,2017,9,8,12,0,0,0,0.308588,0
1,2017,9,8,12,1,0,0,0.308588,0
1,2017,9,8,12,2,0,0,0.308588,0
1,2017,9,8,12,3,0,0,0.854528,0
1,2017,9,8,13,0,0,0,0.991014,0
1,2017,9,8,13,1,0,0,0.991014,0
1,2017,9,8,13,2,0,0,0.991014,0
1,2017,9,8,13,3,0,0,0.991014,0
1,2017,9,8,14,0,0,0,0.991014,0
1,2017,9,8,14,1,0,0,0.991014,0
1,2017,9,8,14,2,0,0,0.991014,0
1,2017,9,8,14,3,0,0,0.991014,0
1,2017,9,8,15,0,0,0,0.991014,0
1,2017,9,8,15,1,0,0,0.991014,0
1,2017,9,8,15,2,0,0,0.991014,0
1,2017,9,8,15,3,0,0,0.991014,0
1,2017,9,8,16,0,0,0,0.681248,0
1,2017,9,8,21,3,0,0,0.100653,0
1,2017,9,8,22,0,0,0,0.303375,0
1,2017,9,8,22,1,0,0,0.303375,0
1,2017,9,8,22,2,0,0,0.303375,0
1,2017,9,8,22,3,0,0,0.303375,0
1,2017,9,8,23,0,0,0,0.303375,0
1,2017,9,8,23,1,0,0,0.303375,0
1,2017,9,8,23,2,0,0,0.303375,0
1,2017,9,8,23,3,0,0,0.303375,0
1,2017,9,9,0,0,0,0,0.303375,0
1,2017,9,9,0,1,0,0,0.303375,0
1,2017,9,9,0,2,0,0,0.303375,0
1,2017,9,9,0,3,0,0,0.303375,0
1,2017,9,9,1,0,0,0,0.303375,0
1,2017,9,9,1,1,0,0,0.303375,0
1,2017,9,9,1,2,0,0,0.303375,0
1,2017,9,9,1,3,0,0,0.303375,0
1,2017,9,9,2,0,0,0,0.303375,0
1,2017,9,9,2,1,0,0,0.303375,0
1,2017,9,9,2,2,0,0,0.303375,0
1,2017,9,9,2,3,0,0,0.303375,0
1,2017,9,9,3,0,0,0,0.303375,0
1,2017,9,9,3,1,0,0,0.303375,0
1,2017,9,9,3,2,0,0,0.303375,0
1,2017,9,9,3,3,0,0,0.303375,0
1,2017,9,9,4,0,0,0,0.303375,0
1,2017,9,9,4,1,0,0,0.303375,0
1,2017,9,9,4,2,0,0,0.303375,0
1,2017,9,9,4,3,0,0,0.303375,0
1,2017,9,9,5,0,0,0,0.303375,0
1,2017,9,9,5,1,0,0,0.303375,0
1,2017,9,9,5,2,0,0,0.303375,0
1,2017,9,9,5,3,0,0,0.303375,0
1,2017,9,9,6,0,0,0,0.303375,0
1,2017,9,9,6,1,0,0,0.303375,0
1,2017,9,9,6,2,0,0,0.303375,0
1,2017,9,9,6,3,0,0,0.303375,0
1,2017,9,9,7,0,0,0,0.303375,0
1,2017,9,9,7,1,0,0,0.214486,0
1,2017,9,9,13,0,0,0,0.025405,0
1,2017,9,9,13,1,0,0,0.996575,0
1,2017,9,9,13,2,0,0,1.091266,0
1,2017,9,9,13,3,0,0,1.091266,0
1,2017,9,9,14,0,0,0,1.091266,0
1,2017,9,9,14,1,0,0,1.091266,0
1,2017,9,9,14,2,0,0,1.091266,0
1,2017,9,9,14,3,0,0,1.091266,0
1,2017,9,9,15,0,0,0,1.091266,0
1,2017,9,9,15,1,0,0,1.091266,0
1,2017,9,9,15,2,0,0,1.01505,0
1,2017,9,9,15,3,0,0,0.66284,0
1,2017,9,9,21,2,0,0,0.071119,0
1,2017,9,9,21,3,0,0,0.22879,0
1,2017,9,9,22,0,0,0,0.237513,0
1,2017,9,9,22,1,0,0,0.237513,0
1,2017,9,9,22,2,0,0,0.237513,0
1,2017,9,9,22,3,0,0,0.237513,0
1,2017,9,9,23,0,0,0,0.237513,0
1,2017,9,9,23,1,0,0,0.237513,0
1,2017,9,9,23,2,0,0,0.237513,0
1,2017,9,9,23,3,0,0,0.237513,0
1,2017,9,10,0,0,0,0,0.237513,0
1,2017,9,10,0,1,0,0,0.237513,0
1,2017,9,10,0,2,0,0,0.237513,0
1,2017,9,10,0,3,0,0,0.237513,0
1,2017,9,10,1,0,0,0,0.237513,0
1,2017,9,10,1,1,0,0,0.237513,0
1,2017,9,10,1,2,0,0,0.237513,0
1,2017,9,10,1,3,0,0,0.237513,0
1,2017,9,10,2,0,0,0,0.237513,0
1,2017,9,10,2,1,0,0,0.237513,0
1,2017,9,10,2,2,0,0,0.237513,0
1,2017,9,10,2,3,0,0,0.237513,0
1,2017,9,10,3,0,0,0,0.237513,0
1,2017,9,10,3,1,0,0,0.237513,0
1,2017,9,10,3,2,0,0,0.237513,0
1,2017,9,10,3,3,0,0,0.237513,0
1,2017,9,10,4,0,0,0,0.237513,0
1,2017,9,10,4,1,0,0,0.237513,0
1,2017,9,10,4,2,0,0,0.237513,0
1,2017,9,10,4,3,0,0,0.237513,0
1,2017,9,10,5,0,0,0,0.237513,0
1,2017,9,10,5,1,0,0,0.237513,0
1,2017,9,10,5,2,0,0,0.237513,0
1,2017,9,10,5,3,0,0,0.237513,0
1,2017,9,10,6,0,0,0,0.237513,0
1,2017,9,10,6,1,0,0,0.237513,0
1,2017,9,10,6,2,0,0,0.237513,0
1,2017,9,10,6,3,0,0,0.237513,0
1,2017,9,10,7,0,0,0,0.237513,0
1,2017,9,10,7,1,0,0,0.237513,0
1,2017,9,10,7,2,0,0,0.054614,0
1,2017,9,10,13,1,0,0,0.806837,0
1,2017,9,10,13,2,0,0,1.224162,0
1,2017,9,10,13,3,0,0,1.224162,0
1,2017,9,10,14,0,0,0,1.224162,0
1,2017,9,10,14,1,0,0,1.224162,0
1,2017,9,10,14,2,0,0,1.224162,0
1,2017,9,10,14,3,0,0,1.224162,0
1,2017,9,10,15,0,0,0,1.224162,0
1,2017,9,10,15,1,0,0,1.224162,0
1,2017,9,10,15,2,0,0,1.047955,0
1,2017,9,10,15,3,0,0,0.695541,0
1,2017,9,10,16,0,0,0,0.046369,0
1,2017,9,10,21,2,0,0,0.051864,0
1,2017,9,10,21,3,0,0,0.30504,0
1,2017,9,10,22,0,0,0,0.30504,0
1,2017,9,10,22,1,0,0,0.30504,0
1,2017,9,10,22,2,0,0,0.30504,0
1,2017,9,10,22,3,0,0,0.30504,0
1,2017,9,10,23,0,0,0,0.30504,0
1,2017,9,10,23,1,0,0,0.30504,0
1,2017,9,10,23,2,0,0,0.30504,0
1,2017,9,10,23,3,0,0,0.30504,0
1,2017,9,11,0,0,0,0,0.30504,0
1,2017,9,11,0,1,0,0,0.30504,0
1,2017,9,11,0,2,0,0,0.30504,0
1,2017,9,11,0,3,0,0,0.30504,0
1,2017,9,11,1,0,0,0,0.30504,0
1,2017,9,11,1,1,0,0,0.30504,0
1,2017,9,11,1,2,0,0,0.30504,0
1,2017,9,11,1,3,0,0,0.30504,0
1,2017,9,11,2,0,0,0,0.30504,0
1,2017,9,11,2,1,0,0,0.30504,0
1,2017,9,11,2,2,0,0,0.30504,0
1,2017,9,11,2,3,0,0,0.30504,0
1,2017,9,11,3,0,0,0,0.30504,0
1,2017,9,11,3,1,0,0,0.30504,0
1,2017,9,11,3,2,0,0,0.30504,0
1,2017,9,11,3,3,0,0,0.30504,0
1,2017,9,11,4,0,0,0,0.30504,0
1,2017,9,11,4,1,0,0,0.30504,0
1,2017,9,11,4,2,0,0,0.30504,0
1,2017,9,11,4,3,0,0,0.30504,0
1,2017,9,11,5,0,0,0,0.30504,0
1,2017,9,11,5,1,0,0,0.30504,0
1,2017,9,11,5,2,0,0,0.30504,0
1,2017,9,11,5,3,0,0,0.30504,0
1,2017,9,11,6,0,0,0,0.30504,0
1,2017,9,11,6,1,0,0,0.30504,0
1,2017,9,11,6,2,0,0,0.30504,0
1,2017,9,11,6,3,0,0,0.30504,0
1,2017,9,11,7,0,0,0,0.30504,0
1,2017,9,11,7,1,0,0,0.2166,0
1,2017,9,11,13,0,0,0,0.395413,0
1,2017,9,11,13,1,0,0,1.042753,0
1,2017,9,11,13,2,0,0,1.042753,0
1,2017,9,11,13,3,0,0,1.042753,0
1,2017,9,11,14,0,0,0,1.042753,0
1,2017,9,11,14,1,0,0,1.042753,0
1,2017,9,11,14,2,0,0,1.042753,0
1,2017,9,11,14,3,0,0,1.042753,0
1,2017,9,11,15,0,0,0,1.042753,0
1,2017,9,11,15,1,0,0,1.042753,0
1,2017,9,11,15,2,0,0,1.021065,0
1,2017,9,11,15,3,0,0,0.717429,0
1,2017,9,11,16,0,0,0,0.191314,0
1,2017,9,11,21,2,0,0,0.036206,0
1,2017,9,11,21,3,0,0,0.289939,0
1,2017,9,11,22,0,0,0,0.32848,0
1,2017,9,11,22,1,0,0,0.32848,0
